,병원분류명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
4763,치과의원,서울특별시 동대문구 왕산로 127 6층 (제기동),127.0375398,37.57844841,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
4764,한의원,서울특별시 강서구 강서로 385 우성에스비타워 3층 307호 (마곡동),126.838306,37.56009309,B,1150010500,서울특별시,강서구,마곡동,H,1150060300,서울특별시,강서구,가양1동
4765,한의원,서울특별시 강서구 마곡중앙로 161-8 두산더랜드파크 A동 3층 305호 (마곡동),126.8271125,37.56892861,B,1150010500,서울특별시,강서구,마곡동,H,1150060300,서울특별시,강서구,가양1동
4766,의원,서울특별시 강서구 공항대로 168 3층 311312313호 (마곡동),126.826137,37.55927364,B,1150010500,서울특별시,강서구,마곡동,H,1150061100,서울특별시,강서구,발산1동
4767,의원,서울특별시 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 2층 203호 (마곡동),126.8269578,37.56729217,B,1150010500,서울특별시,강서구,마곡동,H,1150060300,서울특별시,강서구,가양1동
4768,의원,서울특별시 강서구 수명로 78 새롬프라자 3층 302303호 (내발산동),126.8264465,37.55347015,B,1150010600,서울특별시,강서구,내발산동,H,1150061100,서울특별시,강서구,발산1동
4769,의원,서울특별시 강서구 공항대로 200 마곡지웰타워 3층 306~309호 (마곡동),126.8294731,37.55896253,B,1150010500,서울특별시,강서구,마곡동,H,1150061100,서울특별시,강서구,발산1동
4770,치과의원,서울특별시 강서구 수명로 82 (내발산동),126.8264465,37.55347015,B,1150010600,서울특별시,강서구,내발산동,H,1150061100,서울특별시,강서구,발산1동
4771,의원,서울특별시 강서구 공항대로 164 류마타워 2층 201202호 (마곡동),126.8255139,37.55932525,B,1150010500,서울특별시,강서구,마곡동,H,1150061100,서울특별시,강서구,발산1동
4772,의원,서울특별시 강서구 마곡중앙5로 81 5층 501호 (마곡동 에스비타운),126.8185956,37.56711744,B,1150010500,서울특별시,강서구,마곡동,H,1150063000,서울특별시,강서구,방화1동
4773,의원,서울특별시 강서구 공항대로 168 3층 307308309호 (마곡동),126.826137,37.55927364,B,1150010500,서울특별시,강서구,마곡동,H,1150061100,서울특별시,강서구,발산1동
4774,의원,서울특별시 강서구 수명로 80 베스트프라자빌딩 3층 (내발산동),126.8263928,37.5532286,B,1150010600,서울특별시,강서구,내발산동,H,1150061100,서울특별시,강서구,발산1동
4775,한의원,서울특별시 강서구 공항대로 206 나인스퀘어 5층 507508509호 (마곡동),126.8302504,37.55886363,B,1150010500,서울특별시,강서구,마곡동,H,1150061100,서울특별시,강서구,발산1동
4776,의원,서울특별시 강서구 마곡중앙로 161-17 보타닉파크타워Ⅰ 4층 401호 (마곡동),126.8259599,37.56805835,B,1150010500,서울특별시,강서구,마곡동,H,1150060300,서울특별시,강서구,가양1동
4777,의원,서울특별시 강서구 마곡서로 157 스프링파크타워 205206207208-1208-3209-1호 (마곡동),126.8246149,37.56817529,B,1150010500,서울특별시,강서구,마곡동,H,1150060300,서울특별시,강서구,가양1동
4778,한의원,서울특별시 강서구 마곡서로 133 713동 303호 (마곡동 마곡엠밸리7단지),126.8244799,37.56664566,B,1150010500,서울특별시,강서구,마곡동,H,1150063000,서울특별시,강서구,방화1동
4779,의원,서울특별시 강서구 공항대로 168 5층 511512513호 (마곡동),126.8261388,37.55927211,B,1150010500,서울특별시,강서구,마곡동,H,1150061100,서울특별시,강서구,발산1동
4780,의원,서울특별시 강서구 공항대로 164 류마타워 3층 305호 (마곡동),126.8206457,37.55889856,B,1150010500,서울특별시,강서구,마곡동,H,1150062000,서울특별시,강서구,공항동
4781,한의원,서울특별시 강서구 공항대로 124 1층 112호 (마곡동 마곡엠밸리11단지),126.8212299,37.55879854,B,1150010500,서울특별시,강서구,마곡동,H,1150062000,서울특별시,강서구,공항동
4782,한의원,서울특별시 강서구 마곡서1로 115-1 210호 (마곡동 마곡헤리움1차),126.8185695,37.56670655,B,1150010500,서울특별시,강서구,마곡동,H,1150063000,서울특별시,강서구,방화1동
4783,의원,서울특별시 강서구 마곡동로 61 에이스프라자 4층 401402호 (마곡동),126.8331597,37.56061779,B,1150010500,서울특별시,강서구,마곡동,H,1150060300,서울특별시,강서구,가양1동
4784,의원,서울특별시 관악구 장군봉1길 56 3층 (봉천동 우형빌딩),126.9431074,37.48141002,B,1162010100,서울특별시,관악구,봉천동,H,1162059500,서울특별시,관악구,청룡동
4785,치과의원,서울특별시 강남구 강남대로92길 17 12층 (역삼동),127.0287758,37.4991433,B,1168010100,서울특별시,강남구,역삼동,H,1168064000,서울특별시,강남구,역삼1동
4786,병원,서울특별시 동대문구 답십리로 266 파워스빌딩 (장안동),127.0698437,37.57228172,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
