,지하철역,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
31,청량리,서울특별시 동대문구 전농동,127.046835,37.580178,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
32,동묘앞,서울특별시 종로구 숭인동,127.016429,37.572627,B,1111017500,서울특별시,종로구,숭인동,H,1111071000,서울특별시,종로구,숭인2동
33,서울,서울특별시 중구 봉래동2가,126.972559,37.554648,B,1114012000,서울특별시,중구,봉래동2가,H,1114054000,서울특별시,중구,회현동
34,시청,서울특별시 중구 태평로2가,126.977108,37.564718,B,1114011400,서울특별시,중구,태평로2가,H,1114052000,서울특별시,중구,소공동
35,종각,서울특별시 종로구 종로1가,126.982923,37.570161,B,1111012600,서울특별시,종로구,종로1가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
36,강변,서울특별시 광진구 구의동,127.094681,37.535095,B,1121510300,서울특별시,광진구,구의동,H,1121587000,서울특별시,광진구,구의3동
37,잠실나루,서울특별시 송파구 신천동,127.10379,37.520733,B,1171010200,서울특별시,송파구,신천동,H,1171071000,서울특별시,송파구,잠실6동
38,잠실,서울특별시 송파구 신천동,127.102234,37.51395,B,1171010200,서울특별시,송파구,신천동,H,1171071000,서울특별시,송파구,잠실6동
39,잠실새내,서울특별시 송파구 잠실동,127.086162,37.511687,B,1171010100,서울특별시,송파구,잠실동,H,1171067000,서울특별시,송파구,잠실2동
40,종합운동장,서울특별시 송파구 잠실동,127.073642,37.510997,B,1171010100,서울특별시,송파구,잠실동,H,1171072000,서울특별시,송파구,잠실7동
41,삼성,서울특별시 강남구 대치동,127.06316,37.508844,B,1168010600,서울특별시,강남구,대치동,H,1168061000,서울특별시,강남구,대치2동
42,선릉,서울특별시 강남구 대치동,127.049008,37.504503,B,1168010600,서울특별시,강남구,대치동,H,1168063000,서울특별시,강남구,대치4동
43,역삼,서울특별시 강남구 역삼동,127.036456,37.500622,B,1168010100,서울특별시,강남구,역삼동,H,1168064000,서울특별시,강남구,역삼1동
44,강남,서울특별시 서초구 서초동,127.027926,37.497175,B,1165010800,서울특별시,서초구,서초동,H,1165052000,서울특별시,서초구,서초2동
45,교대,서울특별시 서초구 서초동,127.01408,37.493415,B,1165010800,서울특별시,서초구,서초동,H,1165051000,서울특별시,서초구,서초1동
46,방배,서울특별시 서초구 방배동,126.997596,37.481426,B,1165010100,서울특별시,서초구,방배동,H,1165062000,서울특별시,서초구,방배3동
47,사당,서울특별시 관악구 남현동,126.981685,37.47653,B,1162010300,서울특별시,관악구,남현동,H,1162063000,서울특별시,관악구,남현동
48,낙성대,서울특별시 관악구 봉천동,126.963693,37.47693,B,1162010100,서울특별시,관악구,봉천동,H,1162062500,서울특별시,관악구,인헌동
49,서울대입구,서울특별시 관악구 봉천동,126.952739,37.481247,B,1162010100,서울특별시,관악구,봉천동,H,1162061500,서울특별시,관악구,중앙동
50,봉천,서울특별시 관악구 봉천동,126.941892,37.482362,B,1162010100,서울특별시,관악구,봉천동,H,1162059500,서울특별시,관악구,청룡동
51,신림,서울특별시 관악구 신림동,126.929715,37.484201,B,1162010200,서울특별시,관악구,신림동,H,1162064500,서울특별시,관악구,서원동
52,신대방,서울특별시 관악구 신림동,126.913149,37.487462,B,1162010200,서울특별시,관악구,신림동,H,1162068500,서울특별시,관악구,신사동
53,구로디지털단지,서울특별시 구로구 구로동,126.901401,37.485266,B,1153010200,서울특별시,구로구,구로동,H,1153054000,서울특별시,구로구,구로3동
54,신도림,서울특별시 구로구 신도림동,126.891295,37.508725,B,1153010100,서울특별시,구로구,신도림동,H,1153056000,서울특별시,구로구,구로5동
55,문래,서울특별시 영등포구 문래동3가,126.89476,37.517933,B,1156012100,서울특별시,영등포구,문래동3가,H,1156060500,서울특별시,영등포구,문래동
56,영등포구청,서울특별시 영등포구 당산동3가,126.895951,37.52497,B,1156011300,서울특별시,영등포구,당산동3가,H,1156055000,서울특별시,영등포구,당산1동
57,용답,서울특별시 성동구 사근동,127.050899,37.561904,B,1120010600,서울특별시,성동구,사근동,H,1120079000,서울특별시,성동구,용답동
58,신정네거리,서울특별시 양천구 신정동,126.852912,37.520074,B,1147010100,서울특별시,양천구,신정동,H,1147064000,서울특별시,양천구,신정3동
59,을지로입구,서울특별시 중구 을지로1가,126.982618,37.566014,B,1114010400,서울특별시,중구,을지로1가,H,1114055000,서울특별시,중구,명동
60,을지로3가,서울특별시 중구 을지로3가,126.99191,37.566295,B,1114015500,서울특별시,중구,을지로3가,H,1114060500,서울특별시,중구,을지로동
61,을지로4가,서울특별시 중구 을지로4가,126.998079,37.566941,B,1114015000,서울특별시,중구,을지로4가,H,1114060500,서울특별시,중구,을지로동
62,동대문역사문화공원,서울특별시 중구 을지로7가,127.007896,37.565138,B,1114014900,서울특별시,중구,을지로7가,H,1114059000,서울특별시,중구,광희동
63,신당,서울특별시 중구 흥인동,127.01782,37.565972,B,1114016300,서울특별시,중구,흥인동,H,1114061500,서울특별시,중구,신당동
64,한양대,서울특별시 성동구 행당동,127.043655,37.555273,B,1120010700,서울특별시,성동구,행당동,H,1120055000,서울특별시,성동구,사근동
65,뚝섬,서울특별시 성동구 성수동1가,127.047367,37.547184,B,1120011400,서울특별시,성동구,성수동1가,H,1120066000,서울특별시,성동구,성수1가2동
66,성수,서울특별시 성동구 성수동2가,127.055961,37.544581,B,1120011500,서울특별시,성동구,성수동2가,H,1120069000,서울특별시,성동구,성수2가3동
67,건대입구,서울특별시 광진구 화양동,127.07023,37.540693,B,1121510700,서울특별시,광진구,화양동,H,1121571000,서울특별시,광진구,화양동
68,구의,서울특별시 광진구 자양동,127.085916,37.537077,B,1121510500,서울특별시,광진구,자양동,H,1121583000,서울특별시,광진구,자양2동
69,당산,서울특별시 영등포구 당산동6가,126.902281,37.53438,B,1156011600,서울특별시,영등포구,당산동6가,H,1156056000,서울특별시,영등포구,당산2동
70,합정,서울특별시 마포구 합정동,126.913739,37.549463,B,1144012200,서울특별시,마포구,합정동,H,1144068000,서울특별시,마포구,합정동
