,지구대파출소,청,서,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
127,연남파출소,서울청,서울마포경찰서,마포구 연남동 373-20,126.9237125,37.560325,B,1144012400,서울특별시,마포구,연남동,H,1144071000,서울특별시,마포구,연남동
128,용강지구대,서울청,서울마포경찰서,마포구 용강동 259-1,126.9415812,37.5420236,B,1144010500,서울특별시,마포구,용강동,H,1144059000,서울특별시,마포구,용강동
129,월드컵지구대,서울청,서울마포경찰서,마포구 성산2동 602,126.909136,37.5687249,B,1144012500,서울특별시,마포구,성산동,H,1144073000,서울특별시,마포구,성산2동
130,홍익지구대,서울청,서울마포경찰서,마포구 서교동 491,126.9134132,37.5519473,B,1144012000,서울특별시,마포구,서교동,H,1144066000,서울특별시,마포구,서교동
131,남태령지구대,서울청,서울방배경찰서,서초구 방배2동 442-4,126.9821336,37.4795385,B,1165010100,서울특별시,서초구,방배동,H,1165061000,서울특별시,서초구,방배2동
132,방배1파출소,서울청,서울방배경찰서,서초구 방배1동 906-5,126.9968953,37.4845398,B,1165010100,서울특별시,서초구,방배동,H,1165060000,서울특별시,서초구,방배1동
133,서래파출소,서울청,서울방배경찰서,서초구 반포동 16-4,126.9968375,37.5021083,B,1165010700,서울특별시,서초구,반포동,H,1165057000,서울특별시,서초구,반포2동
134,서울방배경찰서,서울청,서울방배경찰서,서초구 방배동 455-10,126.9830176,37.4816273,B,1165010100,서울특별시,서초구,방배동,H,1165061000,서울특별시,서초구,방배2동
135,이수파출소,서울청,서울방배경찰서,서초구 방배본동 774-9,126.9887157,37.4941919,B,1165010100,서울특별시,서초구,방배동,H,1165059000,서울특별시,서초구,방배본동
136,남가좌파출소,서울청,서울서대문경찰서,서대문구 남가좌동 336-21,126.9240639,37.5759828,B,1141012000,서울특별시,서대문구,남가좌동,H,1141070000,서울특별시,서대문구,남가좌2동
137,북가좌파출소,서울청,서울서대문경찰서,서대문구 북가좌2동 333-5,126.9128523,37.5830066,B,1141011900,서울특별시,서대문구,북가좌동,H,1141072000,서울특별시,서대문구,북가좌2동
138,서울서대문경찰서,서울청,서울서대문경찰서,서대문구 미근동 165,126.9667851,37.5649018,B,1141010400,서울특별시,서대문구,미근동,H,1141056500,서울특별시,서대문구,충현동
139,신촌지구대,서울청,서울서대문경찰서,서대문구 대현동 27-14,126.9430126,37.5585522,B,1141011200,서울특별시,서대문구,대현동,H,1141058500,서울특별시,서대문구,신촌동
140,연희파출소,서울청,서울서대문경찰서,서대문구 연희동 86-12,126.9328507,37.5702587,B,1141011700,서울특별시,서대문구,연희동,H,1141061500,서울특별시,서대문구,연희동
141,충정로지구대,서울청,서울서대문경찰서,서대문구 충정로3가 155-4,126.9638375,37.562275,B,1141010200,서울특별시,서대문구,충정로3가,H,1141056500,서울특별시,서대문구,충현동
